name,buy,sell,buy_unit,sell_unit,min,max,weapon_skill,shield_skill,memo,
保存の壺,800,320,100,40,0,5,,,
識別の壺,800,320,100,40,0,5,,,
変化の壺,800,320,100,40,0,5,,,
ただの壺,800,320,100,40,0,5,,,
やりすごしの壺,800,320,100,40,0,5,,,
笑いの壺,800,320,100,40,0,3,,,
換金の壺,1000,400,125,50,0,5,,,
底抜けの壺,1000,400,125,50,0,4,,,
手封じの壺,1000,400,125,50,0,5,,,
おはらいの壺,1600,640,200,80,0,4,,,
呪いの壺,1600,640,200,80,0,4,,,
背中の壺,2000,800,250,100,0,5,,,
トドの壺,2000,800,250,100,0,5,,,
水鉄砲の壺,2000,800,250,100,0,5,,,
魔物の壺,2000,800,250,100,0,5,,,
ビックリの壺,2000,800,250,100,0,5,,,
合成の壺,6000,2400,750,300,0,4,,,
強化の壺,10000,4000,1250,500,0,3,,,
弱化の壺,10000,4000,1250,500,0,3,,,
