name,buy,sell,weapon_skill,shield_skill,memo,
遠投の腕輪,1500,600,,,
高飛びの腕輪,1500,600,,,
ヘタ投げの腕輪,1500,600,,,
ボヨヨンの腕輪,1500,600,,,
連射の腕輪,1500,600,,,
諸刃の腕輪,1500,600,,,
痛恨の腕輪,1500,600,,,
爆発の腕輪,1500,600,,,
垂れ流しの腕輪,1500,600,,,
金垂れ流しの腕輪,1500,600,,,
罠増しの腕輪,1500,600,,,
ちからの腕輪,2000,800,,,
睡眠よけの腕輪,2500,1000,,,
気配察知の腕輪,2500,1000,,,
道具感知の腕輪,2500,1000,,,
大砲強化の腕輪,2500,1000,,,
水グモの腕輪,3000,1200,,,
呪いよけの腕輪,3000,1200,,,
胃拡張の腕輪,3500,1400,,,
胃縮小の腕輪,3500,1400,,,
弾きよけの腕輪,3500,1400,,,
値切りの腕輪,3500,1400,,,
しあわせの腕輪,4000,1600,,,
混乱よけの腕輪,4000,1600,,,
回復の腕輪,5000,2000,,,
錆よけの腕輪,5000,2000,,,
透視の腕輪,5000,2000,,,
裏道の腕輪,5000,2000,,,
すれちがいの腕輪,5000,2000,,,
毒消しの腕輪,6500,2600,,,
壁抜けの腕輪,6500,2600,,,
罠師の腕輪,7500,3000,,,
百発百中の腕輪,15000,6000,,,
